Channel,Logo (optional URL),VTVgo,MyTV,TV360,FPT Play,VTVprime,SCTV Online,HTVm,K+,ClipTV,VieON,Msky,VTVcab,SCTV,K+ (DTH),VTC Digital (DTH),AVG (DTH),AVG (DTT),Notes (optional)
Happy Kids,,,,yes,,,,,,,,,,,,,,,
SPOTV,,,yes,,,,,,,,,,,,,,,,
SPOTV2,,,yes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
